id,workstream,component,pitch_or_design_claim,actual_state,status,severity,demo_blocking,gap_description,recommended_fix,effort,owner
G01,Grading spine,Sandbox / private-data confidentiality,"""decrypted, scored, and destroyed inside a secure enclave so nobody ever sees the code""; scorer runs ""in a sandboxed subprocess (no network, timeout)"" and the submission ""sees only price DATA, never the file, never the network"" (grade.ts:42-45)","grade.ts:59 spawns `python3 scorer.py` with ONLY {timeout:30000}. No sandbox-exec profile, no setrlimit, no seccomp, no network/file jail anywhere in .py or .ts. 'sandbox-exec' appears only in COMMENTS in enclave/scorer.py:8,12,59. Memory grader-sandbox-leak-verified confirms a worker reads prices_private.json by absolute path even under the planned network-only profile.",STUB,Critical,Yes,"The single most load-bearing security claim is false locally. The untrusted worker process can open() the private series / rubric / any host file by absolute path. 'You can't see the hidden test set' collapses: a cheat can read prices_private.json and hardcode the answer key, then pass execution AND look legit. The code comment is stronger than the truth (doc/security mismatch).","Apply a real jail to the worker subprocess: macOS sandbox-exec with (deny default)+(allow file-read*) ONLY python prefix + worker temp cwd, then (deny network*); OR run the scorer in a minimal container with no bind to the private dir and data piped in over fd. Add setrlimit (AS/CPU/NPROC). Until then, soften the grade.ts comment to match reality.",M,Alex/Luke
G02,Agent,Reference competitor agent (/agent),"pitch/README Architecture: ""/agent (TypeScript, viem). The reference competitor, running on a Hetzner box: discovers jobs by polling BigQuery, runs a Claude build loop, self-scores on the public set, and submits its model to the scorer TEE per submission.""",No /agent or apps/agent directory exists anywhere in the repo. 'Submissions' are hand-authored .py files placed in grader/submissions/ and grader/lp_submissions/ (clean.py / hardcoded.py / cheat.py).,MISSING,High,Yes,"The 'two agents compete' narrative in the 2-min demo has no agent. There is no discover->build->self-score->submit loop; a human runs grade.ts against pre-written files. The honest-vs-cheat contrast is real at the SCORING layer but staged, not produced by autonomous agents.","For the demo, a thin scripted 'agent' that polls the chain/spec, drops a submission file, and invokes grade.ts is enough to make the story honest. Full Claude build loop is post-demo. Label the current fixtures as 'sample submissions', not 'agent output', in the pitch.",M,Luke
G03,Grading spine,Grader -> CRE transport,"grade.ts:4 comment ""grader POSTs to the CRE workflow's HTTP trigger""; pitch frames per-submission scoring as an automated pipeline.",grade.ts emits the callback via console.log(JSON.stringify(...)) to stdout. The only real fetch POST is to the Confidential AI inference API (grade.ts:83). README workflow is manual two-step: `bun grade.ts ... > /tmp/g.json` then `cre workflow simulate --http-payload /tmp/g.json --broadcast`.,PARTIAL,Medium,No,"The spine works end-to-end but is human-relayed, not auto-posted. Comment overstates automation. Fine for a demo run-book, but it is not the 'agent submits -> scorer scores -> CRE writes' autonomous loop the pitch implies.","Either (a) make grade.ts actually HTTP POST to the deployed workflow's trigger URL, or (b) correct the comment to 'prints the recordGrade callback for the operator to feed the CRE trigger'. (a) is the real fix; (b) is honest labeling.",S,Luke
G04,Grading spine,Encryption to enclave key,"pitch headline: ""Agents submit encrypted."" ""The agent encrypts its model to the scorer's key, uploads the ciphertext to object storage, and submits only the content-addressed CID on-chain. In the mempool... everywhere outside the enclave, it's ciphertext.""",No encryption anywhere in code. Submissions are plaintext .py files read directly off disk. GAPS.md explicitly records 'Encryption: DEFERRED' (agreed on the design call).,MISSING,Medium,No,"Acknowledged-deferred internally, but the pitch's #1 mechanism sentence ('submit encrypted') is not reflected in any build artifact. A judge who reads code will find plaintext. Risk is purely narrative-credibility, not demo function.","Keep deferred for the hackathon, but align the pitch: say plaintext-inside-enclave for the MVP and encryption-to-enclave-key as the immediate next step (matches the internal decision). Do not claim ciphertext-in-mempool until it exists.",L,Alex
G05,Data,Private dataset is ~10x larger than public,"pitch: ""seals a ~10x larger private dataset and test set in the enclave""; ""~10x larger private set"" in multiple docs.","Directional: public prices_public.json=285B / private prices_private.json=456B (~1.6x, both tiny ~10-bar series). LP range-bot: public pool_public.csv=27k / private pool_private.csv=27k - IDENTICAL size, both 72 hourly bars. HANDOFF 3 flags data is synthetic.",PARTIAL,Medium,No,"The 10x claim is false; private is the same order of magnitude (LP: byte-identical size). Data is synthetic demo series, not a real WETH/USDC backtest. The hidden-set security argument still holds in principle (private != public content) but the 'much larger' framing is unsupported.","Either generate a genuinely larger/longer private series (Riley's analysis/ BigQuery feed is the path), or drop the '10x' number from the pitch and say 'a separate held-out private set'. Make public and private actually disjoint windows.",M,Riley/Luke
G06,Data,IPFS / content-addressed CID,"pitch: submissions referenced on-chain by ""content-addressed CID""; TEE_RESEARCH shows http.Get(""https://ipfs.io/ipfs/<CID>""); spec.md references specCid.","No IPFS upload or fetch in any code. create-bounty.ts:37 sets specCid = `honeycomb://<dir>/spec.md` with an explicit '// TODO: real IPFS CID'. The enclave reads baked-in local files, not a CID.",STUB,Medium,No,"The content-addressing story (CID on-chain, enclave fetches from IPFS) is documented but unbuilt. specCid is a placeholder scheme. Submissions never travel as CIDs. Not demo-blocking because the local pipeline bakes files in, but it contradicts the on-chain-CID narrative.",Pin the spec + public tests to a real IPFS CID (web3.storage/Pinata) and store that in specCid; optionally have the enclave fetch by CID. Or scope the pitch to 'specCid is a content commitment; IPFS pinning is next'.,M,Luke
G07,Reputation,ERC-8004 reputation / track record writes,"pitch: ""their track record is written to on-chain reputation""; ""writing a reputation delta""; ""richer ERC-8004 reputation, including specialization signals.""","Only ERC-8004 Identity Registry is used (getAgentWallet for payout, register for agents). No Validation Registry, no Reputation Registry, no feedback/score write on settlement. BountyEscrow._resolve pays the wallet and emits JobResolved; it writes NO reputation. (analysis/ reads the REAL mainnet reputation registry 0x8004baa1..., unrelated to Honeycomb's own writes.)",MISSING,Medium,No,"'Track record written on-chain' has no implementation. Settlement pays out but records no reputation delta to any registry. The reputation-over-staking design pillar is asserted, not built.","For the demo, either drop the reputation-write claim or add a minimal write to an ERC-8004 ReputationRegistry (or a Honeycomb event) on resolve carrying (agentId, jobId, score, valid). Specialization signals are roadmap.",M,Luke/Alex
G08,Dashboard,BigQuery-backed dashboard,"pitch: ""/dashboard (Next.js + BigQuery). Surfaces open bounties, submission counts, settlement history, and agent reputation"" via server-side route handlers.","apps/web NOW has 7 server route handlers under src/app/api/ (agents, agents/[id], bounties, market, bigquery, refresh, health) reading real data via @/lib/reputation + @/lib/bq. /api/bigquery runs the REAL ERC-8004 identity+reputation count queries against live BigQuery server-side (gitignored SA key, dry-run default, graceful degrade if key/pkg absent). Bounties/submissions/settlements are served from SEED CSVs via loadMarket; the on-chain BountyEscrow (Layer-2) feed in bq.ts is env-gated OFF (BQ_ESCROW_ADDRESS defaults '') until the escrow ships.",PARTIAL,Medium,No,"Substantially built since the last audit. Agent-reputation is genuinely live (BigQuery + seed CSVs). Open-bounties / submission-counts / settlement-history are still served from seed CSVs, not from our own BountyEscrow events (the escrow indexer path in bq.ts is deliberately dormant). So 3 of the 4 claimed capabilities are real-data-shaped but seed-backed; the BigQuery claim itself is now true for the reputation/identity layer.","Flip the escrow Layer-2 on once BountyEscrow is the canonical board: set BQ_ESCROW_ADDRESS and point loadMarket's bounty/submission/settlement source at the indexed JobCreated/GradeRecorded/JobResolved events (the response contract is already stable, per bounties/route.ts). Until then, label the bounty board as seed/demo data and the reputation panel as live.",L,Luke
G09,Data / indexing,BigQuery indexes JobDeployed events,"pitch: ""Job discovery runs through Google BigQuery, which indexes the on-chain JobDeployed events""; ""mirror events -> jobs/submissions/settlements tables.""","No indexer for Honeycomb's BountyEscrow exists. analysis/ queries the PUBLIC Ethereum dataset for the REAL ERC-8004 registries (0x8004a169.../0x8004baa1...) to build a trust/search layer - a different, standalone deliverable. No jobs/submissions/settlements tables are populated from BountyEscrow's JobCreated/GradeRecorded/JobResolved.",MISSING,Medium,No,"The agent-discovers-jobs-via-BigQuery loop has no backing index for our own contract. The contract emits the right events (JobCreated, GradeRecorded, JobResolved) but nothing mirrors them to BigQuery. Discovery in the demo would have to read the chain directly.",Stand up a small indexer (Envio/Ponder or a cron that reads logs -> BigQuery) for the three BountyEscrow events into jobs/submissions/settlements. Or reframe: agents discover via direct RPC log reads; BigQuery is the reputation/search layer (which analysis/ actually is).,M,Riley/Luke
G10,MCP,MCP server / Claude Code skill,"pitch + BigPicture: a Claude-Code-connected MCP server/skill drives bounty creation and the agent loop (""connected to our site via an MCP server or a skill"").","BUILT: apps/honeycomb-mcp/ — TypeScript+bun MCP (stdio) server (@modelcontextprotocol/sdk + viem). server.ts entrypoint advertises 6 tools (create_bounty [broadcasts real Sepolia tx], get_job, list_jobs, job_events, query_reputation [BigQuery], grade_submission [-> grading-cre grade.ts]); logic in chain.ts + tools/*.ts. Verified 2026-06-13: tsc clean; full stdio handshake (initialize -> tools/list -> tools/call); list_jobs returns live Sepolia (jobs #1/#2 Completed, winner agentId 6552 score 2282). Not committed yet (Luke approves commits).",BUILT,Low,No,Closed. A Claude-Code-connected MCP server now drives the bounty lifecycle from one place (maker create -> monitor -> reputation -> grade). The 'drive it from Claude Code' UX claimed in the pitch is real for all 6 tools. create_bounty stays matched to the DEPLOYED 4-arg escrow (see G25).,"Done. Commit apps/honeycomb-mcp when ready. Remaining polish: query_reputation needs analysis/.venv python (auto-discovered), grade_submission needs the grader .venv on PATH (handled in the tool's spawn env) + Alex's INFERENCE_API_KEY for the validity leg.",M,Luke
